DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Part 1-2,Crime code,Crime Code Desc,Vict Age,Vict Sex,Premis Cd,Premis Desc,Status Desc,LAT,LON
190326475,03-01-2020 00:00,03-01-2020 00:00,2130,Wilshire \,1,510,VEHICLE - STOLEN,0,M,101,STREET,Adult Arrest,34.0375,-118.3506
200106753,02-09-2020 00:00,02-08-2020 00:00,1800,Central,1,330,BURGLARY FROM VEHICLE,47,M,128,BUS STOP/LAYOVER (ALSO QUERY 124),Invest Cont,34.0444,-118.2628
200320258,11-11-2020 00:00,11-04-2020 00:00,1700,Southwest,1,480,BIKE - STOLEN,19,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Invest Cont,34.021,-118.3002
200907217,05-10-2023 00:00,03-10-2020 00:00,2037,Van Nuys /,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),19,M,405,CLOTHING STORE,Invest Cont,34.1576,-118.4387
200412582,09-09-2020 00:00,09-09-2020 00:00,630,Hollenbeck,1,510,VEHICLE - STOLEN,,,101,STREET,Invest Cont,34.082,-118.213
200209713,05-03-2020 00:00,05-02-2020 00:00,1800,Rampart,1,AB510,VEHICLE - STOLEN,,,101,STREET,Invest Cont,34.0642,-118.2771
200200759,07-07-2020 00:00,07-07-2020 00:00,1340,Rampart //,1,648,ARSON,,X,101,STREET,Invest Cont,34.0536,-118.2788
201308739,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1210,Newton,1,510,VEHICLE - STOLEN,,,101,STREET,Invest Cont,34.017,-118.2643
201112065,07/31/2020 12:00:00 AM,07/30/2020 12:00:00 AM,2030,Northeast,1,NB510,VEHICLE - STOLEN,,,101,STREET,Adult Arrest,34.0953,-118.2974
200121929,12-04-2020 00:00,12-03-2020 00:00,2300,Central,1,510,VEHICLE - STOLEN,,,101,STREET,Invest Cont,34.071,-118.2302
201215394,06/26/2020 12:00:00 AM,06/25/2020 12:00:00 AM,2200,77th Street,1,510,VEHICLE - STOLEN,,,101,STREET,Invest Cont,33.9747,-118.2587
200406391,03-02-2020 00:00,03-01-2020 00:00,1430,Hollenbeck,1,310,BURGLARY,27,M,221,PUBLIC STORAGE,Invest Cont,34.0881,-118.1877
200114396,07-06-2020 00:00,07-04-2020 00:00,100,Central,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0423,-118.2453
200912561,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,700,Van Nuys |,1,NM510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.1812,-118.4356
200207955,03/19/2020 12:00:00 AM,03/19/2020 12:00:00 AM,130,Rampart |,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0632,-118.2693
200112598,06-01-2020 00:00,05/30/2020 12:00:00 AM,30,Central |,1,310,BURGLARY,0,M,201,JEWELRY STORE,Adult Arrest,34.0467,-118.252
200905707,02-08-2020 00:00,02-07-2020 00:00,2000,Van Nuys |,1,510,VEHICLE - STOLEN,0,,101,STREET,Adult Other,34.1803,-118.4204
200215463,09/26/2020 12:00:00 AM,09/25/2020 12:00:00 AM,1900,Rampart,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0668,-118.2627
200308100,03-07-2020 00:00,03-06-2020 00:00,2200,Southwest,1,NM510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0344,-118.2915
200606074,02-12-2020 00:00,02-07-2020 00:00,1615,Hollywood,2,805,PIMPING,23,F,101,STREET,Adult Arrest,34.1016,-118.337
200517540,12-07-2020 00:00,11/30/2020 12:00:00 AM,2255,Harbor,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,33.7553,-118.3056
200506977,03-10-2020 00:00,02/22/2020 12:00:00 AM,30,Harbor,1,510,VEHICLE - STOLEN,0,,101,STREET,Adult Arrest,33.7926,-118.3043
201110303,06-11-2020 00:00,06-08-2020 00:00,2000,Northeast,1,310,BURGLARY,0,M,203,OTHER BUSINESS,Invest Cont,34.1089,-118.1942
201000767,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,2000,West Valley,1,330,BURGLARY FROM VEHICLE,41,M,108,PARKING LOT,Adult Arrest,34.1774,-118.5387
200510354,06-08-2020 00:00,06-08-2020 00:00,330,Harbor,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,33.7179,-118.2898
200410136,06/24/2020 12:00:00 AM,06/24/2020 12:00:00 AM,700,Hollenbeck,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0809,-118.2132
200814461,09/24/2020 12:00:00 AM,09/24/2020 12:00:00 AM,1710,West LA,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0375,-118.3886
201215562,06/29/2020 12:00:00 AM,06/29/2020 12:00:00 AM,730,77th Street,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,33.9655,-118.3046
200210168,05/14/2020 12:00:00 AM,05-12-2020 00:00,2100,Rampart,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0531,-118.2738
200714301,09/27/2020 12:00:00 AM,09/22/2020 12:00:00 AM,1430,Wilshire,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0853,-118.3499
200906009,02/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2230,Van Nuys,2,806,PANDERING,,F,101,STREET,Adult Other,34.1958,-118.4662
200218448,12-11-2020 00:00,12-10-2020 00:00,2000,Rampart,1,510,VEHICLE - STOLEN,,,101,STREET,Invest Cont,34.0529,-118.2819
200618540,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,950,Hollywood,1,510,VEHICLE - STOLEN,,,101,STREET,Invest Cont,34.0981,-118.3577
200316510,08/30/2020 12:00:00 AM,08/29/2020 12:00:00 AM,2050,Southwest,1,510,VEHICLE - STOLEN,,,101,STREET,Adult Other,34.0278,-118.3378
200504009,01-01-2020 00:00,01-01-2020 00:00,2100,Harbor,2,946,OTHER MISCELLANEOUS CRIME,,X,101,STREET,Adult Arrest,33.7783,-118.2662
200808682,04/25/2020 12:00:00 AM,04/21/2020 12:00:00 AM,1400,West LA,1,510,VEHICLE - STOLEN,,,101,STREET,Invest Cont,34.0548,-118.3837
200810737,06/17/2020 12:00:00 AM,06/16/2020 12:00:00 AM,1600,West LA,1,510,VEHICLE - STOLEN,8777,,101,STREET,Invest Cont,34.0633,-118.4292
