MOVIES,YEAR,GENRE,RATING,VOTES,RunTime,Gross
Blood Red Sky,-2021,Action$ Horror$ Thriller            ,6.1,21062,121,
Masters of the Universe: Revelation,(2021– ),Animation$ Action$ Adventure,5,17870,25,
The Walking Dead,(2010–2022),Drama$ Horror$ Thriller,8.2,885805,44,
Rick and Morty,(2013– ),Animation$ Adventure$ Comedy,9.2,414849,23,
Army of Thieves,-2021,Action$ Crime$ Horror,,,,
Outer Banks,(2020– ),Action$ Crime$ Drama,7.6,25858,50,
The Last Letter from Your Lover,-2021,Drama$ Romance,6.8,5283,110,
Dexter,(2006–2013),Crime$ Drama$ Mystery,8.6,665387,53,
Never Have I Ever,(2020– ),Comedy,7.9,34530,30,
Virgin River,(2019– ),,7.4,27279,44,
Gunpowder Milkshake,-2021,Action$ Adventure$ Thriller,6,17989,114,
Lucifer,(2016–2021),Crime$ Drama$ Fantasy,8.1,264222,42,
Fear Street: 1994,-2021,Drama$ Horror$ Mystery,6.2,50148,107,
Sex/Life,(2021– ),Comedy$ Drama$ Romance,5.4,12172,,
American Horror Story,(2011– ),Drama$ Horror$ Thriller,8,286488,60,
Grey's Anatomy,(2005– ),Drama$ Romance,7.5,266258,41,
Breaking Bad,(2008–2013),Crime$ Drama$ Thriller,9.4,1552311,49,
The Good Doctor,(2017– ),Drama,8.1,70871,41,
Atypical,(2017–2021),Comedy$ Drama,8.3,71544,30,
Stranger Things,(2016– ),Drama$ Fantasy$ Horror,8.7,885856,51,
Fear Street: 1978,-2021,Drama$ Horror$ Mystery,6.8,36634,109,
Friends,(1994–2004),Comedy$ Romance,8.9,880918,22,
The Flash,(2014– ),Action$ Adventure$ Drama,7.6,320264,43,
Peaky Blinders,(2013– ),Crime$ Drama,8.8,393414,60,
He-Man and the Masters of the Universe,(2021– ),Animation$ Action$ Adventure,,,,
Chernobyl,-2021,Drama$ History$ Romance,5,4681,136,
Vikings,(2013–2020),Action$ Adventure$ Drama,8.5,459913,44,
Better Call Saul,(2015– ),Crime$ Drama,8.8,347857,46,
Supernatural,(2005–2020),Drama$ Fantasy$ Horror,8.4,404273,44,
The Blacklist,(2013– ),Crime$ Drama$ Mystery,8,213522,43,
Fear Street: 1666,-2021,Horror$ Mystery,6.7,27447,114,
Animal Kingdom,(2016– ),,8.2,26926,60,
Brooklyn Nine-Nine,(2013–2022),,8.4,248583,22,
NCIS: Naval Criminal Investigative Service,(2003– ),Action$ Crime$ Drama,7.7,125619,60,
Kingdom,(2019– ),Action$ Drama$ History,8.4,34906,45,
Modern Family,(2009–2020),Comedy$ Drama$ Romance,8.4,378030,22,
Titans,(I) (2018– ),Action$ Adventure$ Crime,7.7,73656,45,
The Witcher,(2019– ),Action$ Adventure$ Fantasy,8.2,336484,60,
Downton Abbey,(2010–2015),,8.7,171804,58,
Shingeki no kyojin,(2013–2022),Animation$ Action$ Adventure,9,242582,24,
Suits,(2011–2019),,8.4,374263,44,
La casa de papel,(2017–2021),Action$ Crime$ Mystery,8.3,341858,70,
Schitt's Creek,(2015–2020),,8.5,90728,22,
Outlander,(2014– ),Drama$ Fantasy$ Romance,8.4,134991,64,
The Last Kingdom,(2015– ),Action$ Drama$ History,8.4,94650,60,
Black Mirror,(2011– ),Drama$ Sci-Fi$ Thriller,8.8,469407,60,
