step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
612,TRANSFER,49423.31,C770927537,49423.31,0.0,C1726957418,0.0,0.0,1,0
14,CASH_OUT,72053.03,C1482459206,0.0,0.0,C244401300,471628.0,499311.82,0,0
256,CASH_IN,202202.87,C960555250,30815.0,233017.87,C1566810909,0.0,0.0,0,0
235,CASH_IN,236685.76,C363024354,21290.0,257975.76,C1333769652,254558.64,17872.88,0,0
235,CASH_IN,368514.03,C1854554540,5052.0,373566.03,C1956928888,1276795.18,599871.57,0,0
185,CASH_OUT,86629.72,C1606402265,0.0,0.0,C1973630313,105944.59,192574.31,0,0
15,CASH_OUT,314354.55,C567920376,70243.0,0.0,C1807010813,0.0,312521.63,0,0
540,TRANSFER,342970.95,C498197079,342970.95,0.0,C1500413954,0.0,0.0,1,0
10,CASH_IN,306069.37,C954200212,30735.0,336804.37,C877277085,32902.0,0.0,0,0
16,PAYMENT,19763.79,C315620595,92969.0,73205.21,M345654706,0.0,0.0,0,0
279,PAYMENT,14057.22,C609764432,0.0,0.0,M347000537,0.0,0.0,0,0
307,CASH_OUT,69023.72,C93609972,5268.0,0.0,C281322919,137061.41,206085.14,0,0
305,CASH_OUT,368760.49,C368328739,0.0,0.0,C1001208430,1085829.89,1454590.39,0,0
285,PAYMENT,4792.22,C1060139357,13286.0,8493.78,M1626146586,0.0,0.0,0,0
275,TRANSFER,58905.66,C1796650314,0.0,0.0,C423248942,196558.77,255464.43,0,0
331,CASH_OUT,427503.76,C276800386,27624.0,0.0,C979759312,613947.4,1041451.16,0,0
163,CASH_IN,127063.94,C1638129006,10653.0,137716.94,C1822630605,1218509.16,1091445.23,0,0
259,TRANSFER,558073.69,C1477071345,0.0,0.0,C1288964156,783207.52,1341281.21,0,0
635,TRANSFER,1387048.31,C1020800306,1387048.31,0.0,C2090609585,0.0,0.0,1,0
563,TRANSFER,633610.66,C1996751665,633610.66,0.0,C533492345,0.0,0.0,1,0
303,CASH_IN,137070.41,C1565462520,8792.0,145862.41,C1873997006,151658.24,14587.82,0,0
643,CASH_OUT,1707.4,C933301215,1707.4,0.0,C306147226,0.0,1707.4,1,0
718,CASH_OUT,135289.71,C499563648,135289.71,0.0,C1559231794,120427.58,255717.29,1,0
298,CASH_OUT,19481.66,C442298938,9311.0,0.0,C38313107,354072.18,373553.84,0,0
308,TRANSFER,443682.96,C1174423768,443682.96,0.0,C861921612,0.0,0.0,1,0
276,CASH_OUT,81595.54,C1360761487,20791.0,0.0,C2080099779,17605.25,99200.79,0,0
138,PAYMENT,11538.71,C973057750,0.0,0.0,M267262276,0.0,0.0,0,0
36,PAYMENT,39829.32,C192207746,60934.0,21104.68,M610884634,0.0,0.0,0,0
228,CASH_IN,123235.38,C155122109,157225.0,280460.38,C672935174,108094.32,0.0,0,0
203,CASH_OUT,147803.6,C1466310333,73820.0,0.0,C1447041383,249358.35,397161.96,0,0
153,TRANSFER,349024.1,C137691211,0.0,0.0,C282709601,462657.37,811681.47,0,0
41,PAYMENT,24108.76,C1689918223,68951.0,44842.24,M496678947,0.0,0.0,0,0
403,CASH_OUT,240544.11,C2094245074,15138.0,0.0,C1960835304,0.0,251507.08,0,0
190,PAYMENT,8033.58,C360889867,10714.0,2680.42,M960779262,0.0,0.0,0,0
157,PAYMENT,12873.31,C1258905230,16682.0,3808.69,M1370464371,0.0,0.0,0,0
16,PAYMENT,19539.84,C637015951,10445.0,0.0,M1028898573,0.0,0.0,0,0
132,CASH_OUT,190737.49,C367922797,190737.49,0.0,C697452731,1565285.75,1756023.24,1,0
371,PAYMENT,19043.3,C2053935,52748.58,33705.28,M650832967,0.0,0.0,0,0
203,CASH_OUT,249284.64,C714810445,208375.0,0.0,C199334971,782859.1,1032143.74,0,0
307,TRANSFER,988204.68,C958273270,0.0,0.0,C898232365,1826796.49,2815001.17,0,0
328,CASH_OUT,49939.64,C1436202324,262.0,0.0,C2121672304,74139.08,124078.72,0,0
412,TRANSFER,87438.83,C1204602597,87438.83,0.0,C419461239,0.0,0.0,1,0
330,PAYMENT,38749.56,C325517621,6065.0,0.0,M1458005166,0.0,0.0,0,0
257,PAYMENT,5556.96,C523060674,10027.0,4470.04,M1608456988,0.0,0.0,0,0
727,TRANSFER,276298.49,C2044117692,276298.49,0.0,C71460104,0.0,0.0,1,0
397,CASH_OUT,190505.29,C848195105,40039.0,0.0,C2025091983,89913.24,280418.53,0,0
525,CASH_OUT,443719.49,C549973633,0.0,0.0,C295089620,3293159.93,3736879.41,0,0
380,TRANSFER,194115.21,C1120330321,140972.74,0.0,C1714617051,413405.88,607521.09,0,0
182,PAYMENT,8772.84,C1295327703,31132.0,22359.16,M1454306842,0.0,0.0,0,0
619,CASH_OUT,418971.0,C1299375115,418971.0,0.0,C559632898,2234184.24,2653155.23,1,0
